Column,Column2,year,id,artist and album name,label,release format,genre,subgenre,want,have
51,24,2015,33624798,Marion Harper (2) - Cotton Candy,Not on Label,Album,Pop,Alt-Pop,0,1
52,25,2015,22031464,Family Fold - Lustre-glo,Not on Label,CD,Pop,Alt-Pop,0,3
53,25,2015,22031464,Family Fold - Lustre-glo,Not on Label,Album,Pop,Alt-Pop,0,3
120,48,2015,29774128,Coastland Commons - Volume 1: Emmaus,Not on Label,CD,"Pop, Folk, World, & Country","Alt-Pop, Gospel",0,1
121,48,2015,29774128,Coastland Commons - Volume 1: Emmaus,Not on Label,Album,"Pop, Folk, World, & Country","Alt-Pop, Gospel",0,1
122,49,2015,34405348,Monkey Shine - Tails of a Criminal Monkey,Not on Label,CD,"Pop, Folk, World, & Country","Country, Alt-Pop",1,1
123,49,2015,34405348,Monkey Shine - Tails of a Criminal Monkey,Not on Label,Album,"Pop, Folk, World, & Country","Country, Alt-Pop",1,1
124,50,2015,34348579,Jesse Will - Every Thread,Not on Label,CD,"Pop, Folk, World, & Country","Alt-Pop, Folk",0,0
125,50,2015,34348579,Jesse Will - Every Thread,Not on Label,EP,"Pop, Folk, World, & Country","Alt-Pop, Folk",0,0
126,50,2015,34348579,Jesse Will - Every Thread,Not on Label,Stereo,"Pop, Folk, World, & Country","Alt-Pop, Folk",0,0
150,57,2015,29306407,Jack Howard - A Passing Parade,Not on Label,CD,"Rock, Pop","Alternative Rock, Alt-Pop, Indie Rock",0,1
151,57,2015,29306407,Jack Howard - A Passing Parade,Not on Label,EP,"Rock, Pop","Alternative Rock, Alt-Pop, Indie Rock",0,1
192,77,2015,20704285,Vital Idles - Demos II,Not on Label,Cassette,"Rock, Pop","Indie Rock, Indie Pop",4,3
197,80,2015,7653991,Vital Idles - Demos II,Not on Label,Cassette,"Rock, Pop","Indie Rock, Indie Pop",22,17
200,82,2015,15801368,Sun Riah - Firefly Night Light,Not on Label,Cassette,"Rock, Pop",Indie Pop,5,1
201,82,2015,15801368,Sun Riah - Firefly Night Light,Not on Label,Album,"Rock, Pop",Indie Pop,5,1
204,84,2015,6611919,Jay Holy - Jay Holy and The Moog Synthesizer,Not on Label,Cassette,"Electronic, Pop",Indie Pop,1,2
205,84,2015,6611919,Jay Holy - Jay Holy and The Moog Synthesizer,Not on Label,EP,"Electronic, Pop",Indie Pop,1,2
214,89,2015,13420098,Honeychurch (2) - September Songs,Not on Label,Cassette,Pop,Indie Pop,2,2
215,89,2015,13420098,Honeychurch (2) - September Songs,Not on Label,Single,Pop,Indie Pop,2,2
232,98,2015,16226471,Strawberry Runners - Hatcher Creek,Not on Label,Cassette,"Rock, Pop, Folk, World, & Country",Indie Pop,2,6
233,98,2015,16226471,Strawberry Runners - Hatcher Creek,Not on Label,Single,"Rock, Pop, Folk, World, & Country",Indie Pop,2,6
238,101,2015,7121167,Pleasantry / Starry Eyed Cadet - Split EP,Not on Label,Cassette,Pop,Indie Pop,1,11
239,101,2015,7121167,Pleasantry / Starry Eyed Cadet - Split EP,Not on Label,EP,Pop,Indie Pop,1,11
256,110,2015,16226471,Strawberry Runners - Hatcher Creek,Not on Label,Cassette,"Rock, Pop, Folk, World, & Country",Indie Pop,2,6
257,110,2015,16226471,Strawberry Runners - Hatcher Creek,Not on Label,Single,"Rock, Pop, Folk, World, & Country",Indie Pop,2,6
274,117,2015,31976399,Sphere (40) - Raging Pop Regime,Not on Label,Cassette,"Rock, Pop","Indie Pop, Indie Rock",0,2
275,117,2015,31976399,Sphere (40) - Raging Pop Regime,Not on Label,EP,"Rock, Pop","Indie Pop, Indie Rock",0,2
286,123,2015,29484484,Fonda 500 - The Fonda 500 Christmasette Tape,Not on Label,Cassette,"Electronic, Rock, Pop","Indie Rock, Indie Pop, Holiday",0,2
287,124,2015,8019162,Miya Folick - Strange Darling,Not on Label,Cassette,"Rock, Pop","Indie Pop, Indie Rock",46,4
288,124,2015,8019162,Miya Folick - Strange Darling,Not on Label,EP,"Rock, Pop","Indie Pop, Indie Rock",46,4
302,130,2015,27268212,Ilia Nicoll - I In Team,Not on Label,Cassette,"Pop, Folk, World, & Country",Indie Pop,1,0
303,130,2015,27268212,Ilia Nicoll - I In Team,Not on Label,Album,"Pop, Folk, World, & Country",Indie Pop,1,0
304,130,2015,27268212,Ilia Nicoll - I In Team,Not on Label,Stereo,"Pop, Folk, World, & Country",Indie Pop,1,0
305,131,2015,15754439,Micah Visser - OK Night,Not on Label,Cassette,Pop,Indie Pop,3,2
306,131,2015,15754439,Micah Visser - OK Night,Not on Label,Album,Pop,Indie Pop,3,2
307,131,2015,15754439,Micah Visser - OK Night,Not on Label,Numbered,Pop,Indie Pop,3,2
331,141,2015,8425634,Dream Suicides - Soft Feelings,Not on Label,Cassette,"Rock, Pop","Indie Pop, Shoegaze",26,25
346,147,2015,7669333,BYBYE - BYBYE,Not on Label,Cassette,"Electronic, Pop",Indie Pop,0,1
347,147,2015,7669333,BYBYE - BYBYE,Not on Label,Limited Edition,"Electronic, Pop",Indie Pop,0,1
351,149,2015,15641775,Soft Fangs - Soft Fangs,Not on Label,Cassette,"Rock, Pop",Indie Pop,3,4
352,149,2015,15641775,Soft Fangs - Soft Fangs,Not on Label,Limited Edition,"Rock, Pop",Indie Pop,3,4
355,152,2015,15641775,Soft Fangs - Soft Fangs,Not on Label,Cassette,"Rock, Pop",Indie Pop,3,4
356,152,2015,15641775,Soft Fangs - Soft Fangs,Not on Label,Limited Edition,"Rock, Pop",Indie Pop,3,4
367,157,2015,11561241,Sex Hands - Odds & Sodds,Not on Label,Cassette,"Rock, Pop","Indie Pop, Indie Rock",5,2
368,157,2015,11561241,Sex Hands - Odds & Sodds,Not on Label,Limited Edition,"Rock, Pop","Indie Pop, Indie Rock",5,2
369,158,2015,12243422,Catholic Easter Colors - Not The Silence That Was There Before,Not on Label,Cassette,Pop,Indie Pop,2,2
370,158,2015,12243422,Catholic Easter Colors - Not The Silence That Was There Before,Not on Label,EP,Pop,Indie Pop,2,2
371,158,2015,12243422,Catholic Easter Colors - Not The Silence That Was There Before,Not on Label,Limited Edition,Pop,Indie Pop,2,2
390,165,2015,7710362,Banquettes And The Tennis Shoes - Banquettes And The Tennis Shoes,Not on Label,Cassette,Pop,Indie Pop,1,4
391,165,2015,7710362,Banquettes And The Tennis Shoes - Banquettes And The Tennis Shoes,Not on Label,Album,Pop,Indie Pop,1,4
392,165,2015,7710362,Banquettes And The Tennis Shoes - Banquettes And The Tennis Shoes,Not on Label,Limited Edition,Pop,Indie Pop,1,4
444,183,2015,14693045,"may.e + 丘 - See You Soon ""session For Us""",Not on Label,Cassette,"Pop, Folk, World, & Country",Indie Pop,11,6
445,183,2015,14693045,"may.e + 丘 - See You Soon ""session For Us""",Not on Label,Album,"Pop, Folk, World, & Country",Indie Pop,11,6
446,183,2015,14693045,"may.e + 丘 - See You Soon ""session For Us""",Not on Label,Limited Edition,"Pop, Folk, World, & Country",Indie Pop,11,6
477,196,2015,13070855,MFS* - Hero / Stranded In The Universe,Not on Label,Cassette,"Rock, Pop","Alternative Rock, Indie Pop, Indie Rock",0,0
495,201,2015,14490954,The Albert Square - Agnes,Not on Label,Cassette,"Rock, Pop","Punk, Indie Rock, Indie Pop",1,4
496,201,2015,14490954,The Albert Square - Agnes,Not on Label,Single,"Rock, Pop","Punk, Indie Rock, Indie Pop",1,4
638,248,2015,6896948,There Is Thunder In Our Hearts - Friction,Not on Label,Cassette,Pop,Indie Pop,1,2
639,248,2015,6896948,There Is Thunder In Our Hearts - Friction,Not on Label,Single Sided,Pop,Indie Pop,1,2
640,248,2015,6896948,There Is Thunder In Our Hearts - Friction,Not on Label,EP,Pop,Indie Pop,1,2
641,248,2015,6896948,There Is Thunder In Our Hearts - Friction,Not on Label,Limited Edition,Pop,Indie Pop,1,2
706,269,2015,12069811,Itaca (2) - Big In Itaca,Not on Label,Cassette,Pop,"Europop, Indie Pop",2,5
707,269,2015,12069811,Itaca (2) - Big In Itaca,Not on Label,Album,Pop,"Europop, Indie Pop",2,5
708,269,2015,12069811,Itaca (2) - Big In Itaca,Not on Label,Stereo,Pop,"Europop, Indie Pop",2,5
714,272,2015,35305810,Rosie June - Post Listening,Not on Label,CD,"Electronic, Pop",Indie Pop,0,0
716,274,2015,15147916,Morning Bear - Take Flight,Not on Label,CD,Pop,Indie Pop,0,5
717,275,2015,19239466,You & Me (9) - Delightful Terror,Not on Label,CD,Pop,Indie Pop,0,0
719,277,2015,14164271,Siesta Inuit - La consulta de Freud,Not on Label,CD,Pop,Indie Pop,0,2
749,289,2015,17889994,Shoos Off - Kiss The Television,Not on Label,CD,Pop,Indie Pop,2,1
751,291,2015,14855806,Ellie Makes Music - Are You Listening?,Not on Label,CD,Pop,Indie Pop,1,2
752,292,2015,15692559,Dossey - Diamond,Not on Label,CD,"Electronic, Pop",Indie Pop,1,2
757,297,2015,15913120,Propeller (19) - Fearsome Fables Of Sunday Afternoons,Not on Label,CD,Pop,Indie Pop,1,0
812,312,2015,31627705,Meteora (10) - Fénix,Not on Label,CD,Pop,Indie Pop,0,1
813,312,2015,31627705,Meteora (10) - Fénix,Not on Label,CD-ROM,Pop,Indie Pop,0,1
814,312,2015,31627705,Meteora (10) - Fénix,Not on Label,EP,Pop,Indie Pop,0,1
815,313,2015,25433203,Young Scum - Autumn August,Not on Label,Cassette,"Rock, Pop","Indie Pop, Jangle Pop, Indie Rock",4,1
816,313,2015,25433203,Young Scum - Autumn August,Not on Label,EP,"Rock, Pop","Indie Pop, Jangle Pop, Indie Rock",4,1
817,313,2015,25433203,Young Scum - Autumn August,Not on Label,Limited Edition,"Rock, Pop","Indie Pop, Jangle Pop, Indie Rock",4,1
818,313,2015,25433203,Young Scum - Autumn August,Not on Label,Stereo,"Rock, Pop","Indie Pop, Jangle Pop, Indie Rock",4,1
829,317,2015,12144934,Hoop (3) • Gar Pal • Leena Joshi - Dream Split,Not on Label,Cassette,"Rock, Non-Music, Pop","Indie Pop, Indie Rock, Poetry",5,3
830,317,2015,12144934,Hoop (3) • Gar Pal • Leena Joshi - Dream Split,Not on Label,Album,"Rock, Non-Music, Pop","Indie Pop, Indie Rock, Poetry",5,3
831,317,2015,12144934,Hoop (3) • Gar Pal • Leena Joshi - Dream Split,Not on Label,Limited Edition,"Rock, Non-Music, Pop","Indie Pop, Indie Rock, Poetry",5,3
832,319,2015,13924025,Adam Gingrich - Talking Pictures,Not on Label,CD,Pop,Indie Pop,0,1
833,319,2015,13924025,Adam Gingrich - Talking Pictures,Not on Label,CD-ROM,Pop,Indie Pop,0,1
834,319,2015,13924025,Adam Gingrich - Talking Pictures,Not on Label,Album,Pop,Indie Pop,0,1
835,319,2015,13924025,Adam Gingrich - Talking Pictures,Not on Label,Stereo,Pop,Indie Pop,0,1
854,331,2015,15465337,Alex Mayr - Gut Gegen Böse,Not on Label,CD,Pop,Indie Pop,1,5
855,331,2015,15465337,Alex Mayr - Gut Gegen Böse,Not on Label,EP,Pop,Indie Pop,1,5
870,339,2015,8262055,Jaron Natoli - Admire,Not on Label,CD,Pop,Indie Pop,0,1
871,339,2015,8262055,Jaron Natoli - Admire,Not on Label,Single,Pop,Indie Pop,0,1
921,365,2015,15838305,Nadeah - While The Heart Beats,Not on Label,CD,"Electronic, Rock, Pop",Indie Pop,1,5
922,365,2015,15838305,Nadeah - While The Heart Beats,Not on Label,Album,"Electronic, Rock, Pop",Indie Pop,1,5
923,366,2015,18452641,Ophelia Syndrome - North Sea,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,0,4
924,366,2015,18452641,Ophelia Syndrome - North Sea,Not on Label,Album,"Pop, Folk, World, & Country",Indie Pop,0,4
937,373,2015,30858435,Larkins - Don’t Leave The Light On // EP,Not on Label,CD,Pop,Indie Pop,0,1
938,373,2015,30858435,Larkins - Don’t Leave The Light On // EP,Not on Label,EP,Pop,Indie Pop,0,1
949,379,2015,7958802,Kirsten Adamson - Kirsten Adamson,Not on Label,CD,Pop,Indie Pop,6,32
950,379,2015,7958802,Kirsten Adamson - Kirsten Adamson,Not on Label,Album,Pop,Indie Pop,6,32
963,386,2015,8286211,Handsome Poets - 2015,Not on Label,CD,Pop,Indie Pop,4,33
964,386,2015,8286211,Handsome Poets - 2015,Not on Label,Album,Pop,Indie Pop,4,33
981,395,2015,11064206,Flint Eastwood - Small Victories,Not on Label,CD,"Electronic, Pop",Indie Pop,4,9
982,395,2015,11064206,Flint Eastwood - Small Victories,Not on Label,EP,"Electronic, Pop",Indie Pop,4,9
985,397,2015,10581360,Haevn - Finding Out More,Not on Label,CD,"Electronic, Pop",Indie Pop,16,8
986,397,2015,10581360,Haevn - Finding Out More,Not on Label,Single,"Electronic, Pop",Indie Pop,16,8
1001,405,2015,21626470,Clara Benin - Riverchild,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,2,4
1002,405,2015,21626470,Clara Benin - Riverchild,Not on Label,EP,"Pop, Folk, World, & Country",Indie Pop,2,4
1013,411,2015,25471021,Kminek - Kminek 34,Not on Label,CD,"Rock, Pop",Indie Pop,0,1
1014,411,2015,25471021,Kminek - Kminek 34,Not on Label,Album,"Rock, Pop",Indie Pop,0,1
1058,434,2015,12140925,Kara Laudon - I Wasn't Made,Not on Label,CD,Pop,Indie Pop,2,2
1059,434,2015,12140925,Kara Laudon - I Wasn't Made,Not on Label,Album,Pop,Indie Pop,2,2
1066,438,2015,24356519,Jordan Indiana Gonzalez - Everything EP,Not on Label,CD,Pop,Indie Pop,0,2
1067,438,2015,24356519,Jordan Indiana Gonzalez - Everything EP,Not on Label,EP,Pop,Indie Pop,0,2
1076,443,2015,14130587,Rusos Blancos - Crocanti,Not on Label,CD,"Electronic, Pop",Indie Pop,2,0
1077,443,2015,14130587,Rusos Blancos - Crocanti,Not on Label,EP,"Electronic, Pop",Indie Pop,2,0
1078,444,2015,29940760,Huckster - Broken Record,Not on Label,CD,Pop,Indie Pop,0,0
1079,444,2015,29940760,Huckster - Broken Record,Not on Label,Album,Pop,Indie Pop,0,0
1090,450,2015,7221281,Hey Anna - Run Koko,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,0,4
1091,450,2015,7221281,Hey Anna - Run Koko,Not on Label,Album,"Pop, Folk, World, & Country",Indie Pop,0,4
1092,451,2015,10119530,"blueberry, very blue* - 5th Life",Not on Label,CD,"Electronic, Pop",Indie Pop,7,4
1093,451,2015,10119530,"blueberry, very blue* - 5th Life",Not on Label,Album,"Electronic, Pop",Indie Pop,7,4
1098,454,2015,7372897,The Cocksure Lads - Mad Lad Plan,Not on Label,CD,Pop,Indie Pop,1,3
1099,454,2015,7372897,The Cocksure Lads - Mad Lad Plan,Not on Label,Album,Pop,Indie Pop,1,3
1110,460,2015,25196278,Various - American Vintage 10 Ans,Not on Label,CD,"Electronic, Rock, Pop",Indie Pop,2,2
1111,460,2015,25196278,Various - American Vintage 10 Ans,Not on Label,Promo,"Electronic, Rock, Pop",Indie Pop,2,2
1112,461,2015,23969813,Good Luck Year - Tinder For The Fire,Not on Label,CD,"Rock, Pop",Indie Pop,1,1
1113,461,2015,23969813,Good Luck Year - Tinder For The Fire,Not on Label,EP,"Rock, Pop",Indie Pop,1,1
1116,463,2015,19843552,Laura Junson & The Jeth - Laura Junson & The Jeth,Not on Label,CD,"Jazz, Pop",Indie Pop,1,2
1117,463,2015,19843552,Laura Junson & The Jeth - Laura Junson & The Jeth,Not on Label,Album,"Jazz, Pop",Indie Pop,1,2
1144,478,2015,10806471,Steps To Synapse - Desires,Not on Label,CD,Pop,Indie Pop,0,8
1145,478,2015,10806471,Steps To Synapse - Desires,Not on Label,EP,Pop,Indie Pop,0,8
1148,480,2015,15642308,Here's To The Lion - Northern Blend,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,0,1
1149,480,2015,15642308,Here's To The Lion - Northern Blend,Not on Label,EP,"Pop, Folk, World, & Country",Indie Pop,0,1
1150,481,2015,9324523,Silhouette Tales - Circle,Not on Label,CD,"Rock, Pop",Indie Pop,0,1
1151,481,2015,9324523,Silhouette Tales - Circle,Not on Label,EP,"Rock, Pop",Indie Pop,0,1
1202,507,2015,11139139,"Parks, Squares And Alleys - Against Illusions & Reality",Not on Label,CD,Pop,Indie Pop,42,6
1203,507,2015,11139139,"Parks, Squares And Alleys - Against Illusions & Reality",Not on Label,Album,Pop,Indie Pop,42,6
1240,526,2015,7958802,Kirsten Adamson - Kirsten Adamson,Not on Label,CD,Pop,Indie Pop,6,32
1241,526,2015,7958802,Kirsten Adamson - Kirsten Adamson,Not on Label,Album,Pop,Indie Pop,6,32
1244,528,2015,7688813,The High Dials - In The A.M. Wilds,Not on Label,CD,Pop,Indie Pop,9,24
1245,528,2015,7688813,The High Dials - In The A.M. Wilds,Not on Label,Album,Pop,Indie Pop,9,24
1274,543,2015,15838305,Nadeah - While The Heart Beats,Not on Label,CD,"Electronic, Rock, Pop",Indie Pop,1,5
1275,543,2015,15838305,Nadeah - While The Heart Beats,Not on Label,Album,"Electronic, Rock, Pop",Indie Pop,1,5
1276,544,2015,18452641,Ophelia Syndrome - North Sea,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,0,4
1277,544,2015,18452641,Ophelia Syndrome - North Sea,Not on Label,Album,"Pop, Folk, World, & Country",Indie Pop,0,4
1290,551,2015,30858435,Larkins - Don’t Leave The Light On // EP,Not on Label,CD,Pop,Indie Pop,0,1
1291,551,2015,30858435,Larkins - Don’t Leave The Light On // EP,Not on Label,EP,Pop,Indie Pop,0,1
1346,579,2015,18752620,Lucy And The Caterpillar - Coming Back Home,Not on Label,CD,Pop,Indie Pop,0,1
1347,579,2015,18752620,Lucy And The Caterpillar - Coming Back Home,Not on Label,Single,Pop,Indie Pop,0,1
1372,593,2015,8602751,aaps - 9.10,Not on Label,CD,Pop,Indie Pop,2,4
1373,593,2015,8602751,aaps - 9.10,Not on Label,EP,Pop,Indie Pop,2,4
1384,599,2015,13674031,Nicole Bianchet - Milky Stroboscope,Not on Label,CD,Pop,Indie Pop,0,1
1385,599,2015,13674031,Nicole Bianchet - Milky Stroboscope,Not on Label,Album,Pop,Indie Pop,0,1
1388,601,2015,11043260,Various - Clip.News,Not on Label,CD,"Electronic, Pop",Indie Pop,1,0
1389,601,2015,11043260,Various - Clip.News,Not on Label,Compilation,"Electronic, Pop",Indie Pop,1,0
1390,602,2015,34120150,Addam (3) - Diversions,Not on Label,CD,Pop,Indie Pop,0,1
1391,602,2015,34120150,Addam (3) - Diversions,Not on Label,Album,Pop,Indie Pop,0,1
1398,607,2015,9143665,Pinguini Tattici Nucleari - Diamo Un Calcio All'Aldilà,Not on Label,CD,"Jazz, Rock, Pop, Folk, World, & Country",Indie Pop,29,30
1399,607,2015,9143665,Pinguini Tattici Nucleari - Diamo Un Calcio All'Aldilà,Not on Label,Album,"Jazz, Rock, Pop, Folk, World, & Country",Indie Pop,29,30
1406,611,2015,11233413,Fleurie - Arrows,Not on Label,CD,"Rock, Pop",Indie Pop,15,14
1407,611,2015,11233413,Fleurie - Arrows,Not on Label,EP,"Rock, Pop",Indie Pop,15,14
1420,618,2015,21626470,Clara Benin - Riverchild,Not on Label,CD,"Pop, Folk, World, & Country",Indie Pop,2,4
1421,618,2015,21626470,Clara Benin - Riverchild,Not on Label,EP,"Pop, Folk, World, & Country",Indie Pop,2,4
1432,624,2015,25471021,Kminek - Kminek 34,Not on Label,CD,"Rock, Pop",Indie Pop,0,1
1433,624,2015,25471021,Kminek - Kminek 34,Not on Label,Album,"Rock, Pop",Indie Pop,0,1
1474,645,2015,9867166,Okay Monday - EP#1,Not on Label,CD,Pop,Indie Pop,0,3
1475,645,2015,9867166,Okay Monday - EP#1,Not on Label,EP,Pop,Indie Pop,0,3
1478,647,2015,15750005,Autumn Still - When It Was,Not on Label,CD,Pop,Indie Pop,2,1
1479,647,2015,15750005,Autumn Still - When It Was,Not on Label,Album,Pop,Indie Pop,2,1
1480,648,2015,8857009,The Universal Thump - Walking The Cat: The Abbey Road EP,Not on Label,CD,Pop,Indie Pop,2,1
1481,648,2015,8857009,The Universal Thump - Walking The Cat: The Abbey Road EP,Not on Label,EP,Pop,Indie Pop,2,1
1486,651,2015,12920255,Nicole Bianchet - Burning Rainbows,Not on Label,CD,Pop,Indie Pop,0,2
1487,651,2015,12920255,Nicole Bianchet - Burning Rainbows,Not on Label,Album,Pop,Indie Pop,0,2
1488,652,2015,12755577,November Me - Don’t Believe The Tide,Not on Label,CD,Pop,Indie Pop,0,2
1489,652,2015,12755577,November Me - Don’t Believe The Tide,Not on Label,EP,Pop,Indie Pop,0,2
1490,653,2015,8796062,Nüman - Express,Not on Label,CD,Pop,Indie Pop,0,1
1491,653,2015,8796062,Nüman - Express,Not on Label,Album,Pop,Indie Pop,0,1
1512,665,2015,12816851,El Hipnotizador Romántico - Jungla,Not on Label,CD,Pop,Indie Pop,0,6
1513,665,2015,12816851,El Hipnotizador Romántico - Jungla,Not on Label,Album,Pop,Indie Pop,0,6
1520,669,2015,11213264,Melvern Taylor And His Fabulous Meltones* - The Old New Stuff,Not on Label,CD,"Rock, Pop",Indie Pop,2,2
1521,669,2015,11213264,Melvern Taylor And His Fabulous Meltones* - The Old New Stuff,Not on Label,Album,"Rock, Pop",Indie Pop,2,2
1522,670,2015,6495428,Pretty Mery K - Rowboat,Not on Label,CD,Pop,Indie Pop,0,3
1523,670,2015,6495428,Pretty Mery K - Rowboat,Not on Label,Album,Pop,Indie Pop,0,3
1580,700,2015,12816851,El Hipnotizador Romántico - Jungla,Not on Label,CD,Pop,Indie Pop,0,6
1581,700,2015,12816851,El Hipnotizador Romántico - Jungla,Not on Label,Album,Pop,Indie Pop,0,6
1612,716,2015,8697674,He Told Me To - While Elephants Sleep,Not on Label,CD,Pop,Indie Pop,0,5
1613,716,2015,8697674,He Told Me To - While Elephants Sleep,Not on Label,Album,Pop,Indie Pop,0,5
1616,718,2015,12486167,Lucas Rieger - Durch Jede Wand,Not on Label,CD,Pop,Indie Pop,0,3
1617,718,2015,12486167,Lucas Rieger - Durch Jede Wand,Not on Label,EP,Pop,Indie Pop,0,3
1622,721,2015,26630630,The Wild Romantics - She Could Tell,Not on Label,CD,Pop,Indie Pop,0,2
1623,721,2015,26630630,The Wild Romantics - She Could Tell,Not on Label,EP,Pop,Indie Pop,0,2
1675,747,2015,9867166,Okay Monday - EP#1,Not on Label,CD,Pop,Indie Pop,0,3
1676,747,2015,9867166,Okay Monday - EP#1,Not on Label,EP,Pop,Indie Pop,0,3
1679,749,2015,15750005,Autumn Still - When It Was,Not on Label,CD,Pop,Indie Pop,2,1
1680,749,2015,15750005,Autumn Still - When It Was,Not on Label,Album,Pop,Indie Pop,2,1
1681,750,2015,8857009,The Universal Thump - Walking The Cat: The Abbey Road EP,Not on Label,CD,Pop,Indie Pop,2,1
1682,750,2015,8857009,The Universal Thump - Walking The Cat: The Abbey Road EP,Not on Label,EP,Pop,Indie Pop,2,1
1687,753,2015,12920255,Nicole Bianchet - Burning Rainbows,Not on Label,CD,Pop,Indie Pop,0,2
1688,753,2015,12920255,Nicole Bianchet - Burning Rainbows,Not on Label,Album,Pop,Indie Pop,0,2
1689,754,2015,12755577,November Me - Don’t Believe The Tide,Not on Label,CD,Pop,Indie Pop,0,2
1690,754,2015,12755577,November Me - Don’t Believe The Tide,Not on Label,EP,Pop,Indie Pop,0,2
1691,755,2015,8796062,Nüman - Express,Not on Label,CD,Pop,Indie Pop,0,1
1692,755,2015,8796062,Nüman - Express,Not on Label,Album,Pop,Indie Pop,0,1
1728,777,2015,12790379,Elsa y Elmar - Rey,Not on Label,CD,"Latin, Pop",Indie Pop,10,8
1729,777,2015,12790379,Elsa y Elmar - Rey,Not on Label,Album,"Latin, Pop",Indie Pop,10,8
1730,778,2015,8529485,Olivver the Kid - The Boy Who Cried Wolf,Not on Label,CD,Pop,Indie Pop,13,6
1731,778,2015,8529485,Olivver the Kid - The Boy Who Cried Wolf,Not on Label,EP,Pop,Indie Pop,13,6
1734,780,2015,9704048,Himbrimi - Himbrimi,Not on Label,CD,Pop,Indie Pop,2,4
1735,780,2015,9704048,Himbrimi - Himbrimi,Not on Label,Album,Pop,Indie Pop,2,4
1748,787,2015,15529537,New Wave Society - Superiority,Not on Label,CD,"Rock, Pop",Indie Pop,0,1
1749,787,2015,15529537,New Wave Society - Superiority,Not on Label,Album,"Rock, Pop",Indie Pop,0,1
1760,793,2015,10564259,Vesperteen - Vesperteen,Not on Label,CD,Pop,Indie Pop,0,24
1761,793,2015,10564259,Vesperteen - Vesperteen,Not on Label,EP,Pop,Indie Pop,0,24
1762,794,2015,7576600,Liūdni Slibinai - Viskas Netrukus Baigsis,Not on Label,CD,"Pop, Stage & Screen",Indie Pop,3,11
1763,794,2015,7576600,Liūdni Slibinai - Viskas Netrukus Baigsis,Not on Label,Album,"Pop, Stage & Screen",Indie Pop,3,11
1769,797,2015,9550403,"Miserable Friend - Thawed, Flawed + Suffering",Not on Label,Cassette,"Rock, Pop","Indie Pop, Shoegaze, Post-Punk",2,4
